"airport_name","airport_id"
"Alan B. Janssen","1712401958529728514"
"Alan's","1712402163870269441"
"Alashanzuoqi Airport","1712400979369459713"
"Alaska Airpark","1712402170568572930"
"Alavus","1712401031286554625"
"Albacete","1712402599041892354"
"Albano Machado Airport","1712402321672568834"
"Albany","1712401409575026689"
"Albany Airport","1712402329675300866"
"Albany International Airport","1712401409642135554"
"Albany Municipal","1712401409709244418"
"Albany Municipal","1712401409776353281"
"Albany Municipal","1712401409839267842"
"Alberni Valley Regional","1712402308355653634"
"Albers","1712401552017784833"
"Albert","1712402041979600898"
"Albert Farms","1712402281818292226"
"Albert J Ellis Airport","1712401808029712385"
"Albert J Lindberg","1712401772290048001"
"Albert Lea Mun","1712401410929786882"
"Albert S Nader Regional","1712402009482133506"
"Alberter Farms","1712401815843700738"
"Alberto Carnevalli","1712402835692912642"
"Alberto Delgado","1712402413733347329"
"Alberto Lleras Camargo","1712402407324450818"
"Albertus","1712401700965908481"
"Albertville Regional/Thomas J Brumlik Field","1712401410988507138"
"Albia Municipal","1712401411122724865"
"Albina","1712401145698779137"
"Albion Mun","1712401411189833730"
"Albrecht Airstrip","1712401880905744386"
"Albright","1712401510540312578"
"Albritton","1712401510284460033"
"Albrook ""Marcos A. Gelabert"" International Airport","1712402555546959874"
"Albuquerque International Sunport","1712401412020305921"
"Albury Airport","1712402329738215426"
"Alcantarí International Airport","1712402359769432066"
"Alcides Fernández","1712401142083289090"
"Alcoota Station Airport","1712401198500872194"
"Alcovy","1712401597605675009"
"Aldan Airport","1712402572517113857"
"Alderman","1712402160753901569"
"Alderney Airport","1712402829535674369"
"Alderson","1712401469612294145"
"Aldinga","1712402329801129986"
"Alejandro Velasco Astete Airport","1712402559045009409"
"Aleknagik / New","1712401412401987586"
"Aleknagik Mission Lodge","1712401412469096449"
"Aleppo Intl","1712402805917548545"
"Alert Bay","1712401007303524354"
"Alert Field","1712401477099126786"
"Alerta","1712401155211460609"
"Ålesund Airport, Vigra","1712402551759503362"
"Alexander Bay","1712402587679522818"
"Alexander County","1712402189912702977"
"Alexander Farm","1712401642388258817"
"Alexander Fld South Wood Co","1712402278009864193"
"Alexander Ranch","1712401632527450113"
"Alexander Salamon","1712402257080287233"
"Alexandra","1712402541441515521"
"Alexandria","1712401412859166721"
"Alexandria","1712402049479016449"
"Alexandria Esler Regl","1712401413119213569"
"Alexandria Homestead","1712401198567981058"
"Alexandria International Airport","1712401412922081281"
"Alexandria Intl","1712400988622094338"
"Alfenas","1712402361732366337"
"Alferez Armando Rodriguez","1712401127411613698"
"Alfonso B. Aragon Airport","1712402403356639234"
"Alford Airpark","1712402040486428674"
"Alfred C 'Bubba' Thomas","1712402144219955202"
"Alfred Schroeder Field","1712401775465136130"
"Alghero Airport","1712402494419173377"
"Algodor","1712401084843622402"
"Algona Mun","1712401413513478145"
"Alhama De Murcia","1712402601952739329"
"Ali Al Salem Ab","1712401116296708098"
"Ali Base","1712402492930195457"
"Ali-Sabieh","1712401072197795842"
"Alicante-Elche Airport","1712402599171915778"
"Alice Intl","1712401413710610434"
"Alice Springs Airport","1712402329864044545"
"Alimentos Dallas","1712401141890351106"
"Alindao","1712401047619174401"
"Alison Air Park","1712402114985656322"
"Alkali Lake State","1712401413966462978"
"Alkersleben","1712401023644532738"
"All West","1712401622796664833"
"Allah Valley","1712402565873336321"
"Allahabad Airport / Bamrauli Airport","1712400974357266433"
"Allakaket Airport","1712401414029377537"
"Allama Iqbal International Airport","1712402553642745858"
"Allegheny County","1712402048757596162"
"Allen","1712401593193267202"
"Allen Airstrip","1712402227355254786"
"Allen County","1712401802564534274"
"Allen H Tigert","1712402149227954177"
"Allen Parish","1712401999747153921"
"Allen St Peter Memorial","1712402061579583489"
"Allen's Airstrip","1712401486376927233"
"Allendale Co","1712401414222315522"
"Allendorf Eder","1712402449720475649"
"Allentown Queen City Mun","1712401414348144641"
"Alley Field","1712401630572904449"
"Alley Oop","1712402260397981698"
"Alliance","1712401414608191490"
"Alliance","1712402049411907586"
"Alliance Municipal Airport","1712401414734020609"
"Allison Farm","1712401617797054466"
"Allison Municipal","1712401415182811138"
"Allison Ranch","1712401693449715714"
"Allstedt","1712402449787584514"
"Alma","1712401417900720130"
"Alma","1712402290139791362"
"Alma Municipal","1712401415375749121"
"Almaty International Airport","1712402507119525889"
"Almena","1712402032601137154"
"Almeria Airport","1712402599234830337"
"Almirante Cristobal Colon","1712402834447204353"
"Almyra Municipal","1712401415698710530"
"Along","1712401178527596545"
"Alor Island Airport","1712402477386104833"
"Alpena County Regional Airport","1712401415761625089"
"Alpha","1712402329926959106"
"Alpha Hotel","1712401573639421953"
"Alpha Hotel","1712402249421488130"
"Alpha Whisky Airstrip","1712401942226468866"
"Alpine","1712401415828733954"
"Alpine Airstrip","1712401997805191169"
"Alpine County","1712401908500070402"
"Alpine Range","1712401668179034114"
"Alpine-Casparis Municipal","1712401415954563073"
"Als","1712401474037284866"
"Alsek River","1712402283579899905"
"Alta Airport","1712402548248870913"
"Alta Floresta Airport","1712402361929498625"
"Alta Mesa Airpark","1712402272028786691"
"Alta Sierra","1712401733580816385"
"Altai Airport","1712402530972532738"
"Altamira Airport","1712402362000801794"
"Altay Airport","1712401417376432129"
"Altay Airport","1712402393760071682"
"Alto Palena","1712402391100882945"
"Alto Paraiso","1712401137243062274"
"Alto Parnaíba","1712401146856407041"
"Alton Downs","1712401198307934210"
"Altona Municipal","1712402290202705922"
"Altoona-Blair County Airport","1712401417112190978"
"Altus Quartz Mountain Regl","1712401417569370113"
"Alula Airport","1712401071543484418"
"Alum Ridge STOLport","1712401686118072321"
"Alva Regl","1712401417967828994"
"álvaro Gama Heliport","1712401140657225729"
"Alvie Cole Ranch","1712402171675869185"
"Alvin Airpark","1712401418479534082"
"Alxa Right Banner Badanjilin Airport","1712400979436568578"
"Alykel Airport","1712402577193762818"
"Alzate Brianza","1712401092208820226"
"Alzitone","1712401088706576385"
"Am Timan","1712401056817283073"
"Amable Calle Gutierrez","1712402420800749569"
"Amacher Strip","1712402209177141249"
"Amahai","1712401189722193922"
"Amakusa Airport","1712402500370890754"
"Amal V12","1712401074336890882"
"Amalfi","1712401142150397954"
"Amami O Shima Airport","1712402500433805314"
"Amana","1712401419133845505"
"Amanab","1712400991071567873"
"Amanda","1712401419196760065"
"Amapa","1712402362063716354"
"Amar Farms","1712402251862573057"
"Amarais","1712402365716955138"
"Amargosa","1712401617411178497"
"Amasya Merzifon Airport","1712402814243241986"
"Amata","1712401198899331073"
"Amata Kabua International Airport","1712402523112407041"
"Amausi Airport","1712402473418293250"
"Ambala","1712401180071100418"
"Ambalabe","1712402517022277634"
"Ambanja","1712401052849471490"
"Ambatondrazaka","1712401052589424641"
"Ambergris Cay Intl","1712402818445934593"
"Ambilobe","1712402516363771905"
"Amble-Tiger North Farms","1712402121721708546"
"Ambler Airport","1712401120436486145"
"Ambodedjo","1712402522521010178"
"Amborovy Airport","1712402517282324481"
"Amboseli Airport","1712401072642392066"
"Ambouli Airport","1712402418653265921"
"Ambri","1712402804441153537"
"Ambriz","1712401053822550018"
"Ambrolauri","1712402449137467393"
"Ambrosich Field","1712401649627627522"
"Ambunti","1712400991335809025"
"Amderma","1712401174102605825"
"Amdjarass International","1712402387250511874"
"Amedee Airbase","1712401078749298690"
"Amelia Earhart","1712401437223878658"
"American Creek","1712401420434079746"
"American Dream Skyranch","1712401990138003457"
"American Falconry","1712401538050752513"
"American Falls","1712401420496994305"
"Americana","1712401131995987970"
"Amery Mun","1712401420882870273"
"Ames","1712401812106575873"
"Ames Field","1712402204831842305"
"Ames Mun","1712401420819955714"
"Ames Private","1712401612663226370"
"Amigos Del Cielo","1712402097042423809"
"Amilcar Cabral De Gaoua","1712401020519776258"
"Amílcar Cabral International Airport","1712402386420039681"
"Ammaroo","1712401198832222210"
"Ammon","1712402266127400961"
"Ammons","1712402289879744513"
"Amos Magny","1712402290269814785"
"Ampanihy","1712401053692526594"
"Ampugnano","1712402498630254594"
"Ampuriabrava","1712401082821967874"
"Amsterdam Airfield","1712401690664697858"
"Amy","1712401943711252482"
"An Numaniyah","1712401118821679105"
"Anaa Airport","1712402445383565313"
"Anacacho Ranch","1712402156211470337"
"Anaco","1712402832303915010"
"Anacortes","1712401421914669058"
"Anadarko Municipal","1712401422174715906"
"Anadolu Airport","1712402815602196482"
"Anadyr Airport","1712402572638748673"
"Anahim Lake Airport","1712402290332729346"
"Anaktuvuk Pass Airport","1712401120897859586"
"Analalava","1712402516430880769"
"Anapa Airport","1712402572705857538"
"Anapolis","1712401165885964290"
"Ancam Antique Airfield","1712402254601453570"
"Ancenis","1712402431328452609"
"Anchor River Airpark","1712401422434762754"
"Anchorage Farm Field","1712402236633055234"
"Ancient Oaks","1712402170115588097"
"Andahuaylas Airport","1712402558071930882"
"ANDAKOMBE","1712400991138676738"
"Andamooka","1712401198769307649"
"Andapa","1712402516497989634"
"Andenes Airport","1712402548315979777"
"Andersen Farms","1712401445838979073"
"Anderson","1712401446350684161"
"Anderson","1712401634582659074"
"Anderson","1712402097172447233"
"Anderson","1712402201983909890"
"Anderson Aerial Spraying","1712401828619550722"
"Anderson Airfield","1712402248305803265"
"Anderson Farm","1712401906490998785"
"Anderson Field","1712401500889219074"
"Anderson Field","1712401828875403266"
"Anderson Lake","1712402240303071234"
"Anderson Muni-Darlington Field","1712401423726608385"
"Anderson Private","1712402168219762690"
"Anderson Ranch","1712401627406204930"
"Anderson Regl","1712401423789522946"
"Anderson Strip","1712401784935874562"
"Anderstorp","1712402729497329666"
"Andes","1712401142213312514"
"Andi Jemma","1712401186421276674"
"Andira","1712401156322951170"
"Andizhan Airport","1712402831267921922"
"Andoas","1712402558134845442"
"Andres Miguel Salazar Marcano","1712402834640142337"
"Andrés Sabella Airport","1712402387959349250"
"Andrew J Ciechomski Memorial","1712402160816816130"
"Andrew Othole Memorial","1712402289749721090"
"Andrews","1712401432614338561"
"Andrews County","1712401424427057153"
"Andrews University Airpark","1712401472208568321"
"Andrieli Base Operacional Airport","1712401141496086529"
"Anduki","1712401192444297218"
"Andy Barnhart Memorial","1712401979589328897"
"Andy Fields","1712401986778365954"
"Andy Mc Beth","1712401837821853699"
"Aneityum Airport","1712401111758471169"
"Anfa","1712401067844108290"
"Angel Albino Corzo International Airport","1712402529600995330"
"Angel Fire","1712401424880041987"
"Angel Park","1712401820298051585"
"Angel S Adami Intl","1712402830626193411"
"Angel's Field","1712402187526144001"
"Angelholm Airport","1712402733351895042"
"Angelina","1712401100274466818"
"Angelina County","1712401888484851714"
"Angelo Ponzoni","1712402383106539522"
"Angen Field","1712401710495367170"
"Angers Airport","1712402431395561473"
"Angier (C A G Farms)","1712401425068785665"
"Angle Bar M","1712401405762404353"
"Angoche","1712401055504465922"
"Angol","1712402387896434690"
"Angola Airstrip","1712401425584685057"
"Angra Dos Reis","1712402362197934082"
"Aniak Airport","1712401425970561026"
"Animas Air Park","1712401077914632194"
"Animas Air Park","1712401636897914881"
"Anisakan","1712401184735166466"
"Anita Municipal-Kevin Burke Memorial Field","1712401426159304705"
"Aniwa Airport","1712401111825580034"
"AnKang Airport","1712400981181399042"
"Ankavandra","1712401051960279042"
"Ankazoabo","1712401053755441153"
"Ankeny Regl","1712401426226413570"
"Anklam","1712402450047631362"
"Ann Airport","1712402534931955713"
"Ann Arbor Mun","1712401426289328129"
"Annai","1712401168150888450"
"Annandale Ranch","1712402217930653698"
"Annemasse","1712402431651414017"
"Annette Island","1712401426863947777"
"Anniston Regl","1712401426926862337"
"Annobon Airport","1712402424441405441"
"Anoka County - Blaine","1712401943392485377"
"Anqing Tianzhushan Airport","1712400983060447234"
"Ansbach Ahp","1712401042065915905"
"Ansbach-Petersdorf","1712401028048551938"
"Anshun Huangguoshu Airport","1712400984289378306"
"Anson County - Jeff Cloud Field","1712402229897003009"
"Answered Prayer","1712401696910016513"
"Anta Airport","1712402558201954305"
"Antalya Airport","1712402814373265410"
"Antelope Airpark","1712401848433442818"
"Antelope County","1712401976347131906"
"Antelope Run Ranch","1712401611560124418"
"Antelope Valley","1712401954876489729"
"Antelope Valley Ranch","1712402266320338945"
"Anthonson","1712401817789857794"
"Anthony Lagoon","1712401198962245633"
"Anthony Mun","1712401427442761730"
"Antichan","1712402443391270914"
"Antique Acres","1712401452252069890"
"Antique Acres Airpark","1712401727272583170"
"Antique Aerodrome","1712401591393910785"
"Antique Aerodrome","1712401616379379714"
"Antique Airfield","1712401482941792257"
"Antiquers Aerodrome","1712401622414983170"
"Antlers Municipal","1712401427828637697"
"Antoine De Saint Exupery","1712402327464902657"
"Anton Flying Uv","1712402122044669953"
"Antone Ranch","1712401945158287361"
"Antonio B. Won Pat International Airport","1712402463024807937"
"Antonio Maceo International Airport","1712402413666238466"
"Antonio Nery Juarbe Pol","1712402570382213122"
"Antonio Rivera Rodriguez Airport","1712402570512236545"
"Antonov","1712402819536453634"
"Antonov 1","1712402820257873921"
"Antrim County","1712401462788161537"
"Antsalova","1712401051775729666"
"Antsirabato","1712402516628013057"
"Antsirabe","1712402516762230786"
"Antsoa","1712401053109518338"
"Antwerp International Airport","1712402357160574978"
"Anvik Airport","1712401121220820993"
"Anxiety Aerodrome","1712401592551538689"
"Anyang","1712401218549645314"
"Aomori Airport","1712402500563828737"
"Aosta","1712402494616305665"
"Apache Pass","1712402094043496450"
"Apache Springs","1712401830616039425"
"Apalachee Bluff Airpark","1712401949109321730"
"Apalachicola Regl","1712401428092878849"
"Apartado Airport","1712402403423748097"
"Apataki Airport","1712402445643612162"
"Apex","1712402072606408705"
"Apex Airpark","1712402143771164674"
"Apolo","1712401144146886657"
"Apple Valley","1712401428738801666"
"Apple Valley","1712401518010368001"
"Applegate","1712402072858066945"
"Appleton Mun","1712401428998848513"
"APT Tumenggung Pranoto Airport","1712402484336066562"
"Aquino","1712402494679220225"
"Araak Airport","1712402487200776193"
"Aracati","1712401128321777666"
"Aracati","1712401147057733634"
"Aracatuba Airport","1712402362390872065"
"Aracuai","1712402362453786625"
