"airport_name","icao_code"
"Ambergris Cay Intl","MBAC"
"Ambilobe","FMNE"
"Amble-Tiger North Farms","8ND0"
"Ambler Airport","PAFM"
"Ambodedjo","GAMB"
"Amborovy Airport","FMNM"
"Amboseli Airport","HKAM"
"Ambouli Airport","HDAM"
"Ambri","LSPM"
"Ambriz","FNAM"
"Ambrolauri","UGAM"
"Ambrosich Field","4CO7"
"Ambunti","AYAT"
"Amderma","ULDD"
"Amdjarass International","FTAA"
"Amedee Airbase","KAHC"
"Amelia Earhart","K59"
"American Creek","80A"
"American Dream Skyranch","18SC"
"American Falconry","45WY"
"American Falls","U01"
"Americana","SDAI"
"Amery Mun","KAHH"
"Ames","21OG"
"Ames Field","6FL8"
"Ames Mun","KAMW"
"Ames Private","05WI"
"Amigos Del Cielo","NM90"
"Amilcar Cabral De Gaoua","DFOG"
"Amílcar Cabral International Airport","GVAC"
"Ammaroo","YAMM"
"Ammon","AZ14"
"Ammons","5LS9"
"Amos Magny","CYEY"
"Ampanihy","FMSY"
"Ampugnano","LIQS"
"Ampuriabrava","LEAP"
"Amsterdam Airfield","NY87"
"Amy","SN94"
"An Numaniyah","ORAN"
"Anaa Airport","NTGA"
"Anacacho Ranch","0XS7"
"Anaco","SVAN"
"Anacortes","K74S"
"Anadarko Municipal","F68"
"Anadolu Airport","LTBY"
"Anadyr Airport","UHMA"
"Anahim Lake Airport","CAJ4"
"Anaktuvuk Pass Airport","PAKP"
"Analalava","FMNL"
"Anapa Airport","URKA"
"Anapolis","SWNS"
"Ancam Antique Airfield","19IA"
"Ancenis","LFFI"
"Anchor River Airpark","AK00"
"Anchorage Farm Field","56TX"
"Ancient Oaks","39FD"
"Andahuaylas Airport","SPHY"
"ANDAKOMBE","AYAN"
"Andamooka","YAMK"
"Andapa","FMND"
"Andenes Airport","ENAN"
"Andersen Farms","SD19"
"Anderson","23ND"
"Anderson","GE21"
"Anderson","IA54"
"Anderson","TN37"
"Anderson Aerial Spraying","SD78"
"Anderson Airfield","43OA"
"Anderson Farm","2MD0"
"Anderson Field","52MN"
"Anderson Field","S97"
"Anderson Lake","0AK1"
"Anderson Muni-Darlington Field","KAID"
"Anderson Private","NA10"
"Anderson Ranch","6TA9"
"Anderson Regl","KAND"
"Anderson Strip","NA65"
"Anderstorp","ESMP"
"Andes","SKAN"
"Andi Jemma","WAFM"
"Andira","SSAN"
"Andizhan Airport","UTFA"
"Andoas","SPAS"
"Andres Miguel Salazar Marcano","SVIE"
"Andrés Sabella Airport","SCFA"
"Andrew J Ciechomski Memorial","OH90"
"Andrew Othole Memorial","KXNI"
"Andrews","4GA8"
"Andrews County","E11"
"Andrews University Airpark","C20"
"Andrieli Base Operacional Airport","SJPR"
"Anduki","WBAK"
"Andy Barnhart Memorial","3OH0"
"Andy Fields","2GE8"
"Andy Mc Beth","S51"
"Aneityum Airport","NVVA"
"Anfa","GMMC"
"Angel Albino Corzo International Airport","MMTG"
"Angel Fire","KAXX"
"Angel Park","3WA3"
"Angel S Adami Intl","SUAA"
"Angel's Field","FL52"
"Angelholm Airport","ESTA"
"Angelina","MDAN"
"Angelina County","KLFK"
"Angelo Ponzoni","SSVI"
"Angen Field","MN44"
"Angers Airport","LFJR"
"Angier (C A G Farms)","27NR"
"Angle Bar M","MU07"
"Angoche","FQAG"
"Angol","SCGO"
"Angola Airstrip","LA67"
"Angra Dos Reis","SDAG"
"Aniak Airport","PANI"
"Animas Air Park","00C"
"Animas Air Park","K00C"
"Anisakan","VYAS"
"Anita Municipal-Kevin Burke Memorial Field","Y43"
"Aniwa Airport","NVVB"
"AnKang Airport","ZLAK"
"Ankavandra","FMMK"
"Ankazoabo","FMSZ"
"Ankeny Regl","KIKV"
"Anklam","EDCA"
"Ann Airport","VYAN"
"Ann Arbor Mun","KARB"
"Annai","SYAN"
"Annandale Ranch","2XS7"
"Annemasse","LFLI"
"Annette Island","PANT"
"Anniston Regl","KANB"
"Annobon Airport","FGAN"
"Anoka County - Blaine","KANE"
"Anqing Tianzhushan Airport","ZSAQ"
"Ansbach Ahp","ETEB"
"Ansbach-Petersdorf","EDQF"
"Anshun Huangguoshu Airport","ZUAS"
"Anson County - Jeff Cloud Field","KAFP"
"Answered Prayer","1GE3"
"Anta Airport","SPHZ"
"Antalya Airport","LTAI"
"Antelope Airpark","93CO"
"Antelope County","4V9"
"Antelope Run Ranch","WY33"
"Antelope Valley","U92"
"Antelope Valley Ranch","4CL3"
"Anthonson","NY28"
"Anthony Lagoon","YANL"
"Anthony Mun","KANY"
"Antichan","LFCG"
"Antique Acres","GA59"
"Antique Acres Airpark","OH65"
"Antique Aerodrome","40IL"
"Antique Aerodrome","9WS2"
"Antique Airfield","IA27"
"Antiquers Aerodrome","FD08"
"Antlers Municipal","80F"
"Antoine De Saint Exupery","SAVN"
"Anton Flying Uv","SN98"
"Antone Ranch","64OG"
"Antonio B. Won Pat International Airport","PGUM"
"Antonio Maceo International Airport","MUCU"
"Antonio Nery Juarbe Pol","TJAB"
"Antonio Rivera Rodriguez Airport","TJVQ"
"Antonov","UKKM"
"Antonov 1","UKKT"
"Antrim County","KACB"
"Antsalova","FMMG"
"Antsirabato","FMNH"
