"airport_name","icao_code"
"Leinster","YLST"
"Leipzig Altenburg","EDAC"
"Leipzig Halle Airport","EDDP"
"Leirin","ENFG"
"Leis","OH34"
"Leisureland Airpark","WA96"
"Leisurewood Airstrip Owners Assoc","9AK6"
"Leitchfield-Grayson Co","M20"
"Leite Lopes Airport","SBRP"
"Lejeune","00LS"
"Lejeune Aerial Applications","10LS"
"Lekhwair","OOLK"
"Leknes Airport","ENLK"
"Lelystad","EHLE"
"Lemhi County","KSMN"
"Lemmon Mun","KLEM"
"Lemons Airstrip","61OK"
"Lemons Field","2ID6"
"Lemons Private Strip","CO10"
"Lemstanas","ESOL"
"Lemwerder","EDWD"
"Lenawee County","KADG"
"Lencero","MMJA"
"Lencois Paulista","SDLP"
"Lenhardt Airpark","7S9"
"Leninakan Airport","UDSG"
"Lenling","0SD0"
"Lennart Meri Tallinn Airport","EETN"
"Lennartson","MN92"
"Lenora","2GA9"
"Lenora Municipal","SN03"
"Lensk Airport","UERL"
"Leo","DFCL"
"Leo's Place STOLport","1KS3"
"Leognan Saucats","LFCS"
"Leon","MNLN"
"León Airport","LELN"
"Leon Airport","MMLP"
"Leon's Landing","4AL7"
"Leona Ranch","75TX"
"Leongatha","YLEG"
"Leoni Benabu","LEAX"
"Leonora Airport","YLEO"
"Leopold Sedar Senghor","GOOY"
"Leopoldina","SNDN"
"Leos Janacek Airport","LKMT"
"Lepore","LINL"
"Lereh","WAJL"
"Leribe","FXLR"
"Leros Airport","LGLE"
"Leroux","TX22"
"Leroy","4AZ9"
"Les Ajoncs","LFRI"
"Les Cayes","MTCA"
"Les Deux Caps","LFIS"
"Les Eplatures","LSGC"
"Les Loges","LFAI"
"Les Milles","LFMA"
"Les Mureaux","LFXU"
"Les Pujols","LFDJ"
"Les Saintes","TFFS"
"Lesnovo","LBLS"
"Lesobeng","FXLS"
"Lessay","LFOM"
"Lester Airfield","17KY"
"Lester Field","MS21"
"Lesterson-Dempsey Airstrip","0MI4"
"Letfotar","GQNL"
"Lethbridge","YLED"
"Lethbridge County Airport","CYQL"
"Lethem","SYLT"
"Leticia Airport","SKLT"
"Letnany Airport","LKLT"
"Letterkenny","EILT"
"Letts Field","7MI8"
"Letung","WIDL"
"Leukhardt's Landing","1PN7"
"Leumnitz","EDAJ"
"Levairport","6TN5"
"Levaldigi Airport","LIMZ"
"Level Acres Farm","PA84"
"Levelland Mun","KLLN"
"Levelock Airport","9Z8"
"Leverton","0KS2"
"Lewis","1OH9"
"Lewis","22II"
"Lewis","7WI4"
"Lewis","FL78"
"Lewis","KCDK"
"Lewis","MS75"
"Lewis Airfield","70IN"
"Lewis Airstrip","7NC7"
"Lewis And Clark Airstrip","8ID8"
"Lewis County Regional","6M6"
"Lewis Field","NY66"
"Lewis Landing","NK79"
"Lewis Private","4TE2"
"Lewis Ranch","2TX4"
"Lewis Ranch","XA31"
"Lewis University","KLOT"
"Lewistown Mun","KLWT"
"Lexington","9S9"
"Lexington Airfield","TE75"
"Lexington County","6J0"
"Lexington Municipal","MU97"
"Lezignan Corbieres","LFMZ"
"Lhasa Gonggar Airport","ZULS"
"Lhok Sukon","WITL"
"Lhoksumawe Airport","WIMA"
"Liangping","ZULP"
"Lianshulu","FYLS"
"Lianyungang Huaguoshan Airport(Baitabu Airport)","ZSLG"
"Lib Mandy Metropolitano","SPLX"
"Libby","S59"
"Libenge","FZFA"
"Liberal Municipal Airport","KLBL"
"Liberty Co","KLTY"
"Liberty Field","7AL5"
"Liberty Landing","4MO4"
"Liberty Municipal","T78"
"Liberty-Casey County","53KT"
"Libo Airport","ZULB"
"Libreville Airport","FOOL"
"Lic. Manuel Crescencio Rejón International Airport","MMMD"
"Lichinga Airport","FQLC"
"Lichtenburg","FALI"
"Lida Junction","0L4"
"Lideta Army","HAAL"
"Lidgerwood Municipal","4N4"
"Lidkoping","ESGL"
"Liechty Farm","8NA5"
"Liege Airport","EBLG"
"Lieksa Nurmes","EFLN"
"Lielvarde","EVGA"
"Lien Khuong Airport","VVDL"
"Liepaya Airport","EVLA"
"Lierley Farms","7NE5"
"Liernais","LFEW"
"Life Hotel Heliport","SDVZ"
"Lifou Airport","NWWL"
"Light Plane Flyers Airfield","LS36"
"Lightfoot Farms","8MN4"
"Lightner Ranch","95NE"
"Lightning Bolt Field","04VT"
"Lightning Ridge","YLRD"
"Lihir Island Airport","AYKY"
"Lihue Airport","PHLI"
"Lijiang Sanyi Airport","ZPLJ"
"Likely","9CL3"
"Likoma","FWLK"
"Lil Bird","SN68"
"Lilabari Airport","VELR"
"Liley Field","20TN"
"Lill Strip","NA75"
"Lille Airport","LFQQ"
"Lillo","LELT"
"Lillooet","CYLI"
"Liloy","RPMX"
"Lima Allen County","KAOH"
"Limans'Ke","UKOM"
"Limbang Airport","WBGJ"
"Limbazi","EVLI"
"Limberlost Ranch","CA21"
"Lime Village","2AK"
"Limeira","SDYM"
"Limoges – Bellegarde Airport","LFBL"
"Limon Intl","MRLM"
"Limon Mun","KLIC"
"Limpopo Valley Airfield","FBLV"
"Linate ""Enrico Forlanini"" Airport","LIML"
"Lincang Airport","ZPLC"
"Lincoln","S69"
"Lincoln Airport","KLNK"
"Lincoln County","1L1"
"Lincoln Farms","5PN8"
"Lincoln Municipal","0R2"
"Lincoln Municipal","K71"
"Lincoln Park","N07"
"Lincoln Regl","KLRG"
"Lincoln Regl Harder","KLHM"
"Lincoln Station","NM25"
"Lincoln Village Airpark","89AK"
"Lincolns Field","12MT"
"Lincolnton-Lincoln County Rgnl","KIPJ"
"Lind","0S0"
"Linda's Roost","2ID2"
"Lindauer","83LL"
"Lindbergh","08ME"
"Lindbergh's Landing","FA35"
"Lindell Loveless","LL45"
"Lindeman Island","YLIN"
"Lindemann","ND35"
"Linden","KLDJ"
"Linden","SYLD"
"Linden Air","MO66"
"Lindrith Airpark","E32"
"Lindsay","0NC7"
"Lindsay","PN25"
"Lindsay Municipal","1K2"
"Lindu Airport","ZYLD"
"Line","LKLN"
"Lingayen Natl","RPUG"
"Lingen","EDWN"
"Linhares","SNLN"
"Link Field","63FD"
"Linkoping City Airport","ESSL"
"Links","MD88"
"Linn County","1KS"
"Lino Air Park","MY18"
"Linrud Airstrip","NA13"
"Linton Municipal","7L2"
"Linwood","MS06"
"Linyi Qiyang Airport","ZSLY"
"Linz Airport","LOWL"
"Linz-Ost","LOLO"
"Lipetsk Airport","UUOL"
"Liping Airport","ZUNP"
"Lippewiesen","EDLH"
"Lisala","FZGA"
"Lisbon Municipal","6L3"
"Lisburg","6ND3"
"Lismore Airport","YLIS"
"Lissie Flying Service","TX90"
"Lista","ENLI"
"Liszt Ferenc International Airport","LHBP"
"Litchfield Illinois Municipal","3LF"
"Litchfield Mun","KLJF"
"Litchfield RLA Restricted Landing Area","4IS7"
"Little 'L' Ranch","TS61"
"Little Buffalo Ranch","WY13"
"Little Buttes Antique Airfield","1CL1"
"Little Deer","16FA"
"Little Falls Morrison Co Lind","KLXL"
"Little Goose Lock and Dam","16W"
"Little Grand Rapids Airport","CZGR"
"Little Mount International","7KY3"
"Little Mountain","6NC1"
"Little Pecan Island","3LA4"
"Little Plum Creek","25WN"
"Little Rissington","EGVL"
"Little River","FL10"
"Little River","KLLR"
"Little Susitna","8AK6"
"Little Texas","27AL"
"Little Tobesofkee Creek Ranch","GA86"
"Little Wheel Field","59WI"
"Little York","63IN"
"Littlebear","MT69"
"Littlefield Mun","KLIU"
"Littlefork Muni/Hanover","13Y"
"Liuzhou Bailian Airport","ZGZH"
"Live Oak County","8T6"
"Live Oak Landing Strip","LA60"
"Live Oak Ranch","TA17"
"Livengood Camp","4AK"
"Livermore Mun","KLVK"
"Livernon","LFCF"
"Liverpool John Lennon Airport","EGGP"
"Liverpool South Shore Regl","CYAU"
"Livingston County Spencer J H","KOZW"
"Livingston Municipal","00R"
"Livingston Municipal","8A3"
"Livramento do Brumado","SNLB"
"Lizard Island","YLZI"
"Lizzy Lizard","8AZ5"
"Ljubljana ""Jože Pučnik"" Airport","LJLJ"
"Ljungbyhed","ESTL"
"Ll Landing","ND92"
"Llama Ranch","03NV"
"Llanada Grande","SCLD"
"Llanbedr","EGFD"
"Llano Mun","KAQO"
"Lleida-Alguaire Airport","LEDA"
"Lloyd Stearman Field","1K1"
"Lloydminster Airport","CYLL"
"Lm Ranch","TA93"
"Lm-Ets","54FD"
"Lmn 120","0KS9"
"Loanda","SSLO"
"Lobito","FNLB"
"Lobo Mountain Ranch","TE21"
"Locarno","LSZL"
"Lochridge Ranch","TX25"
"Lock","YLOK"
"Lock Haven Airport","KLHV"
"Locke Lake","NH15"
"Locker Brothers","1TE0"
"Lockeridge","OI58"
"Lockett","29TX"
"Lockhart","2OR6"
"Lockhart Field","85OK"
"Lockhart Municipal","50R"
"Lockhart River","YLHR"
"Lockwood Dry Coulee","WT37"
"Locomotive Springs","UT94"
"Lodi","0SD1"
"Lodi","1O3"
"Lodi Airpark","L53"
"Lodi Lakeland","9WN5"
"Lodja Airport","FZVA"
"Lodwar Airport","HKLO"
"Loei Airport","VTUL"
"Loemuehle","EDLM"
"Loennewitz","EDUF"
"Loeppert Cpl Aero","80IL"
"Lofty Redwoods","53CL"
"Log Cabin","WS69"
"Logan","96CO"
"Logan Co","KAAA"
"Logan County","6L4"
"Logan Field","1A4"
"Logan's Chance","57OI"
"Logan-Cache","KLGU"
"Logansport Cass County","KGGP"
"Loghouse /Stol/ STOLport","TE38"
"Logroño–Agoncillo Airport","LERJ"
"Logsdon Ranch","OK43"
"Logue","PA45"
"Lohrbach","EDGM"
"Loikaw Airport","VYLK"
"Loja Airport","SECA"
"Loken Farm","IA07"
"Lokichogio","HKLK"
"Lokpriya Gopinath Bordoloi Airport","VEGT"
"Lola Landing","36GA"
"Lollars Creek Farm","AR27"
"Loma de Cometa","66TX"
"Loma Madera Ranch","25CA"
"Lombadina","YLBD"
"Lombok International Airport","WADL"
"Lome Airport","DXXX"
"Lometa Air Strip","7TE3"
"Lompoc","KLPC"
"Londolozi Airport","FALD"
"London Biggin Hill Airport","EGKB"
"London City Airport","EGLC"
"London Corbin Magee Field","KLOZ"
"London Gatwick Airport","EGKK"
"London Heathrow Airport","EGLL"
"London International Airport","CYXU"
"London Luton Airport","EGGW"
"London Oxford Airport","EGTK"
"London Southend Airport","EGMC"
"London Stansted Airport","EGSS"
"Londrina Airport","SBLO"
"Lone Hawk","0MT9"
"Lone Hickory","80C"
"Lone Oaks Ranch","5OR9"
"Lone Pine","O26"
"Lone Pine Aerodrome","34KY"
"Lone Pine Flying Ranch","WY64"
"Lone Star Flying Service","XA41"
"Lone Tree","SD59"
"Lone Tree Ranch","35CO"
"Lonely Air Station","PALN"
"Lonesome Field","1NC8"
"Lonesome Pine","KLNP"
"Lonesome Sky","MO24"
"Lonetree Airstrip","ND72"
"Long Acre Farms","23NK"
"Long Akah","WBGA"
"Long Apung","WRLP"
"Long Banga Airport","WBGL"
"Long Beach Municipal Airport","KLGB"
"Long Branch Farms","2FA3"
"Long Island Airpark","NC26"
"Long Island Macarthur Airport","KISP"
"Long Lake","4AK3"
"Long Lake","AK69"
"Long Lellang Airport","WBGF"
"Long Meadow Airstrip","TN65"
"Long Pasia","WBKN"
"Long Ranch","0OR3"
"Long Semado","WBGD"
"Long Seridan Airport","WBGI"
"Long Sukang","WBGU"
"Long View Landing","CT66"
"Longana Airport","NVSG"
"Longbell Ranch","2CL3"
"Longbranch","VA08"
"Longnan Chengxian Airport","ZLLN"
"Longreach Airport","YLRE"
"Longs","VA32"
"Longs North","OK21"
"Longtan","RCDI"
"Longvic Ab","LFSD"
"Longview Ranch","OG39"
"Longville Mun","KXVG"
"Longwood Mfg Corp","1MO4"
"Longyan Guanzhishan Airport","ZSLO"
"Lonnie Pool Field/Weaverville","O54"
"Lonorore Airport","NVSO"
"Lookingglass","48OR"
"Lookout","OL99"
"Lookout Mountain","0GE3"
"Lookout Point","82LS"
"Loomis","ID95"
"Looney Airstrip","70XA"
"Lopez Island","S31"
"Lorain County Rgnl","KLPR"
"Loralai","OPLL"
"Lord Flat Usfs","OR9"
"Lord Howe Island Airport","YLHI"
"Lordsburg Mun","KLSB"
"Lorentzen","3NA2"
"Lorenz","MN11"
"Loreto Airport","MMLT"
"Loring International","ME16"
"Lorraine","YLOR"
"Los Alamos","KLAM"
"Los Angeles International Airport","KLAX"
"Los Angeles Van Nuys Airport","KVNY"
"Los Banos Mun","KLSN"
"Los Brasiles","MNBR"
"Los Cabos International Airport","MMSD"
"Los Cerrito","62TX"
"Los Chiles","MRLC"
"Los Cuernos Ranch","XA08"
"Los Llanos De Sabanatosa","MDLL"
"Los Oteros","LEOS"
"Los Pelambres","SCNK"
"Los Perales","SESV"
"Los Pirineos","LECI"
"Los Pozuelos De Calatrava","LEPZ"
"Losinj","LDLO"
"Lost Airfield","71LA"
"Lost Bridge","OA16"
"Lost Bridge Village","40AR"
"Lost Creek","18SD"
"Lost Creek","5Y4"
"Lost Lake SPB","57AK"
"Lost Mine","MO56"
"Lost Mountain","WV06"
"Lost River Resort","W12"
"Losuia Airport","AYKA"
"Lothert's Farm Strip","56MN"
"Lotus International","8VA4"
"Lotus Vale Station","YLOV"
"Lou Abbett Farms","II18"
"Loubetsi","FCPI"
"Loucks","25NK"
"Louis Armstrong New Orleans International Airport","KMSY"
"Louis Trichardt","FALO"
"Louisa Co Freeman","KLKU"
"Louiseville","CSJ4"
"Louisiana Regl","KREG"
"Louisville International Airport","KSDF"
"Louisville Municipal","2J3"
"Louisville Winston Co","KLMS"
"Loulan Airport","ZWRQ"
"Loup City Municipal","0F4"
"Lourdes-De-Blanc-Sablon Airport","CYBX"
"Lourival Nunes De Farias","SIBY"
"Loury Lester Airpark","6VA2"
"Lousa","LPLZ"
"Love Field","97FL"
"Lovers Lane","70MO"
"Lowcountry Regl","KRBW"
"Lowe","5KY5"
"Lowe Airstrip","CD01"
"Lowe'S Mooresville","4NC4"
"Lowell","C97"
"Lowell City","24C"
"Lowell Field","00AK"
"Lowell Field","9GA5"
"Lower Chattahoochee Regional","25J"
"Lower Creek","NC27"
"Lower Granite State","00W"
"Lower Loon Creek","C53"
"Lower Monumental State","W09"
"Loxahatchee","7FD6"
"Loxton Aerodrome","YLOX"
"Loyengalani Airport","HKLY"
"Lozuvatka","UKDR"
"Lt Eaton","KOIC"
"Lt Landing","23GE"
"Lt World","00GA"
"Lt. William M. Milliken/Eureka Municipal","13K"
"Luang Namtha Airport","VLLN"
"Luang Prabang International Airport","VLLB"
"Luano Airport","FZQA"
"Luau","FNUA"
"Lubang Community","RPLU"
"Lubango Airport","FNUB"
"Lubao","FZWS"
"Lubbock Executive Airpark","F82"
"Lubbock Preston Smith International Airport","KLBB"
"Lubec Municipal","65B"
"Lubin","EPLU"
"Lublin Airport","EPLB"
"Lublin Radwiec Airfield","EPLR"
"Lubudi","FZQU"
"Lucas","38K"
"Lucas Field","79KY"
"Lucchetti Ranch","8CL2"
"Luce Co","KERY"
"Lucenec","LZLU"
"Lucin","02UT"
"Luckinbill Airstrip","WY06"
"Lucky Lairds Landing","81GA"
"Lucky Lake","CKQ5"
"Lucky Star Ranch","TX04"
"Lucky Weasel","60MU"
"Ludao","RCGI"
"Luderitz Airport","FYLZ"
"Ludhiana Airport","VILD"
"Ludlow","5CA4"
"Ludvika","ESSG"
"Luebo","FZUN"
"Luena Airport","FNUE"
"Luepa","SVLP"
"Luetzellinden","EDFL"
"Lufker","49N"
"Lugano Airport","LSZA"
"Luginbuel Hee Haw","68AR"
"Lugo Di Romagna","LIDG"
"Luguhu Airport","ZPNL"
"Luhans K","UKCW"
"Luis Alberto Lehr","SSZR"
"Luis Muñoz Marín International Airport","TJSJ"
"Luiza","FZUG"
"Lukla Airport","VNLK"
"Lukulu","FLLK"
"Lumar Field","FA29"
"Lumberton","OH77"
"Lumberton Regl","KLBT"
"Lumbier","LEUM"
"Lumbo","FQLU"
"Lumi","AYLU"
"Lumid Pau","SYLP"
"Lumpkin County-Wimpys","9A0"
"Luna Landing","NM26"
"Lund","93IA"
"Lundgren Hereford Ranch","9KS6"
"Lundin","SD94"
"Lunenburg County","W31"
"Luni","LIQW"
"Luniemu","FZJN"
"Lunken Airport","KLUK"
"Luoyang Beijiao Airport","ZHLY"
"Luozi","FZAL"
"Luray Caverns","KLUA"
"Lurcy Levis","LFJU"
"Lusambo","FZVI"
"Lusanga","FZCE"
"Lusardi Field","4OR7"
"Luscombe Acres","6XS2"
"Luscombe Army Airfield","YSHW"
"Luseland","CJR2"
"Lusikisiki","FALK"
"Lusinga","FZRL"
"Lusk Mun","KLSK"
"Lutgen","20SD"
"Luther","NK51"
"Lutselke Airport","CYLK"
"Lutsk","UKLC"
"Lutz","9OH7"
"Luv Field","47XA"
"Luvua","FZRO"
"Luwuk Airport","WAFW"
"Lux Field","25CD"
"Lux Strip","MN28"
"Luxembourg Airport","ELLX"
"Luxor International Airport","HELX"
"Luzamba","FNLZ"
"Lvliang Airport","ZBLL"
"Lyall-Roberts","37CL"
"Lycksele Airport","ESNL"
"Lydd","EGMD"
"Lykes Brighton","8FD5"
"Lykes Moore Haven","7FA2"
"Lykes Silver Lake","FL36"
"Lynch Field","44MU"
"Lynch's Landing","61PS"
"Lynden","38W"
"Lynden Pindling International Airport","MYNN"
"Lyndhurst","YLHS"
"Lyneham","EGDL"
"Lynn","18WV"
"Lynn Airfield","OK98"
"Lynn Lake","CYYL"
"Lynnhaven Field","VA49"
"Lyon","LS14"
"Lyon Corbas Airport","LFHJ"
"Lyon Saint-Exupery Airport","LFLL"
"Lyons Field","OI52"
"Lyons Landing","5GA2"
"Lyons Rice Co Mun","KLYO"
"Lz Carroll STOLport","4NC9"
"Lz Fairwinds","LL78"
"Lz Juliet Bravo","5XA1"
"Lz Ranch","14WA"
"Lz Tango Charlie","08TT"
"M & M Airfield","NY53"
"M & M Land Company","TE15"
"M K Field","6GE4"
"M Sansom Ranch","06TS"
"M Y Ranch","80TS"
"M'Vengue El Hadj Omar Bongo Ondimba International Airport","FOON"
"M-4","32TE"
"M. Bodvig Airstrip","NA71"
"M.A.M Trail","IL65"
"M.C.R.","40OI"
"M4 Strip","MT46"
"Maafaru International Airport","VRDA"
"Maas Airstrip","69LL"
"Maasin Community","RPSM"
"Maastricht Aachen Airport","EHBK"
"Mabaruma","SYMB"
"Mabee Ranch","7TX5"
"Mabuiag Island","YMAA"
"Mac Crenshaw Memorial","KPRN"
"Mac Field","1OR5"
"Mac Kenzie Country Airpark","2AK0"
"Mac's Field","78FD"
"Macae","SBME"
"Macapa International Airport","SBMQ"
"Macau International Airport","VMMC"
"Macaubas","SNMC"
"Macenta","GUMA"
"Mach 1 Jet Port","MS20"
"Mach-O Acres","98OR"
"Machado Dusters","CA05"
"Machias Valley","KMVM"
"Machipongo International","3VG2"
"Macho Grande","41XS"
"Mack Mesa","10CO"
"Mackay","U62"
"Mackay Airport","YBMK"
"Mackay Bar","ID28"
"Mackenzie","CYZY"
"Mackie Ranch","UT91"
"Mackie's","2OA2"
"Mackinac County","83D"
"Mackinac Island","KMCD"
"Macklin","CJJ8"
"Macks Patch-Derrick Field","92SC"
"Macomb Mun","KMQB"
"Macon County","1A5"
"Macon Downtown","KMAC"
"Macon Municipal","20M"
"Macon-Fowler Memorial","K89"
"Mactan–Cebu International Airport","RPVM"
"Mad River Airpark","I54"
"Madang Airport","AYMD"
"Maddock Municipal","6D3"
"Maddox Ranch Company","3MT4"
"Madeira Airpark","TX91"
"Madera Mun","KMAE"
"Madi's Meadows","20KY"
"Madill Municipal","1F4"
"Madison Co","KUYF"
"Madison Mun","KIMS"
"Madison Mun","KMDS"
"Madison Municipal","52A"
"Madisonville Municipal","51R"
"Madisonville Municipal Airport","K2I0"
"Madisonville Regional","2I0"
"Madras Municipal","S33"
"Madrid Air Base","SKMA"
"Madrid Barajas Airport","LEMD"
"Madsen","WY65"
"Madurai Airport","VOMD"
"Mae Hong Son Airport","VTCH"
"Mae Sot Airport","VTPM"
"Maestro Marinho Franco Airport","SBRD"
"Maewo-Naone Airport","NVSN"
"Mafe Gibraleon","LEMF"
"Mafeteng","FXMF"
"Mafia Airport","HTMA"
"Mafra","SSMF"
"Mafrige Ranch Inc","2TA9"
"Mag Drop","20TA"
"Magan Airport","UEMM"
"Magas Airport","URMS"
"Magdagachi Airport","UHBI"
"Magdalena","N29"
"Magdalena","SLMG"
"Magdeburg City","EDBM"
"Magdeburg Cochstedt","EDBC"
"Magee","S77"
"Magee","TE87"
"Magee Creek Aerodrome","82WN"
"Magee Municipal","17M"
"Magennis Farm","7MD1"
"Magic Reservoir","U93"
"Magic Valley","TN45"
"Magic Valley Regional Airport","KTWF"
"Magnitogorsk Airport","USCM"
"Magong Airport","RCQC"
"Maguire Field","WI53"
"Magway","VYMW"
"Mahana","DITM"
"Mahanayim Rosh Pina","LLIB"
"Mahanoro","FMMH"
"Maharana Pratap Airport","VAUD"
"Mahdia","SYMD"
"Mahendranagar","VNMN"
"Mahiliou","UMOO"
"Mahnomen County","3N8"
"Mahogany Mtn.","1JY2"
"Mahoney Creek US Forest Service","0U3"
"Mahoney Farm","2KS4"
"Mahoning County Joint Vocational School","7OH5"
"Mahshahr Airport","OIAM"
"Maia","LPVL"
"Maiana","NGMA"
"Maidens","89Y"
"Maidment Field","7MS3"
"Maidstone","CJH3"
"Maiduguri International Airport","DNMA"
"Maimana Airport","OAMN"
"Mainbullau","EDFU"
"Maintirano","FMMO"
"Maio Island Airport","GVMA"
"Mairena Del Alcor Aerohispalis","LEAH"
"Maitland Airport","YMND"
"Maize","4KS5"
"Maj Brig Doorgal Borges","SBBQ"
"Major Brigadeiro Trompowsky Airport","SBVG"
"Major Pnp Nancy Flores Paucar","SPMF"
"Major W. Guth STOLport","VT34"
"Majors","KGVT"
"Majors Airpark","2LS3"
"Majuba Power Station","FAMJ"
"Makabana","FCPA"
"Makale Alula Aba Nega Airport","HAMK"
"Makeeff","2ND2"
"Makemo Airport","NTGM"
"Makhachkala Airport","URML"
"Makin Island Airport","NGMN"
"Makkovik Airport","CYFT"
"Makokou","FOOK"
"Makoua","FCOM"
"Maku","OITU"
"Malabang","RPMM"
"Malabo International Airport","FGSL"
"Malacca Airport","WMKM"
"Malad City","KMLD"
"Malaga","SKLA"
"Málaga Costa del Sol Airport","LEMG"
"Malaimbandy","FMMC"
"Malakal","HJMK"
"Malamala","FAMD"
"Malange","FNMA"
"Malatya Airport","LTAT"
"Malco","2PN1"
"Malcom Farm","OK91"
"Malda","VEMH"
"Malden Regl","KMAW"
"Malelane","FAMN"
"Maliana","WPMN"
"Malin","4S7"
"Malina","MO31"
"Malinchak Private","9PN8"
"Malinchak Private","OK69"
"Malindi Airport","HKML"
"Mallacoota","YMCO"
"Mallam Aminu Kano International Airport","DNKN"
"Mallard Creek Ranch","9ID6"
"Mallards Landing","GA04"
"Mallory","WV12"
"Mallory Field","50GA"
"Malmi","EFHF"
"Malmo Airport","ESMS"
"Malolo Lailai Island","NFFO"
"Malone","NJ61"
"Malone Airfield","65MO"
"Malone Dufort","KMAL"
"Malone M-Bar Ranch","4NE8"
"Malta","M75"
"Malta International Airport","LMML"
"Malvern Municipal","M78"
"Mambajao Airport","RPMH"
"Mamburao","RPUM"
"Mamfe","FKKF"
"Mammoth Yosemite Airport","KMMH"
"Mampikony","FMNP"
"Man Airport","DIMN"
"Mana Island","NFMA"
"Manakara","FMSK"
"Manang","VNMA"
"Mananjary","FMSM"
"Manas International Airport","UCFM"
"Manassas Regl Davis","KHEF"
"Manatee Airport","48X"
"Manatee Springs","5FD0"
"Manaung Airport","VYMN"
"Mancelona Municipal","D90"
"Manchester Airport","EGCC"
"Manchester Municipal","C27"
"Manchester–Boston Regional Airport","KMHT"
"Manching","ETSI"
"Mandabe","FMSC"
"Mandalay International Airport","VYMD"
"Mandan Regional","Y19"
"Mandelieu","LFMD"
"Mandera","HKMA"
"Mandora","YMDI"
"Mandoro","FCMO"
"Mandritsara","FMNX"
"Manduca Leao","SNML"
"Mangaia Island","NCMG"
"Mangalore","YMNG"
"Mangalore Airport","VOML"
"Mangham Regl","KOCH"
"Mangkajang","WAQK"
"Mangla","OPMA"
"Mangochi","FWMG"
"Mangole, Falabisahaya","WAPE"
"Manguna","AYNG"
"Manhattan Regional Airport","KMHK"
"Manicore","SBMY"
"Manihi Airport","NTGI"
"Manihiki","NCMH"
"Maniitsoq Heliport","BGMQ"
"Manila","40U"
"Manila Mun","KMXA"
"Maningrida Airport","YMGD"
"Manistee County Blacker Airport","KMBL"
"Manitou Field","91NY"
"Manitoulin East Muni","CYEM"
"Manitouwadge","CYMG"
"Manitowish Waters","D25"
"Manitowoc County","KMTW"
"Maniwaki","CYMW"
"Manja","FMSJ"
"Manjimup","YMJM"
"Mankato","KTKO"
"Mankato Regl","KMKT"
"Mankomen Lake","4AK5"
"Manley Hot Springs Airport","PAML"
"Mann","47IN"
"Mann Ranch","95CO"
"Manners Creek","YMCR"
"Mannheim City Airport","EDFM"
"Manning","CFX4"
"Manning Field","6F7"
"Manning Personal Airstrip","VT10"
"Manoel Riba","SSGW"
"Manoel Ribas","SSMR"
"Manokotak Airport","PAMB"
"Manono","FZRA"
"Manor Landing","9PS8"
"Mansa","FLMA"
"Mansfield","8W3"
"Mansfield Lahm Rgnl","KMFD"
"Mansfield Municipal","03B"
"Mansfield Municipal","1B9"
"Mansonville","CSK4"
"Manston","EGMH"
"Mantecal","SVMZ"
"Manti-Ephraim","41U"
"Manzanillo Airport","MMZO"
"Manzano-Mountain Air Ranch","NM89"
"Manzhouli Xijiao Airport","ZBMZ"
"Mao","FTTU"
"Maota","NSMA"
"Maple","MN69"
"Maple Creek","CJQ4"
"Maple Grove Airpark","MI83"
"Maple Hurst Farms","LL74"
"Maple Lake Mun","KMGG"
"Maple Ridge","03ME"
"Maples Field","VG57"
"Maplewood Farm","CT39"
"Maputo International Airport","FQMA"
"Maqin Airport","ZLGL"
"Maquinchao","SAVQ"
"Maquoketa Mun","KOQW"
"Mar Bar L Farms","NJ46"
"Mar Del Plata Airport","SAZM"
"Mara Serena Airport","HKMS"
"Maraba Airport","SBMA"
"Maracas","SNMJ"
"Maradi","DRRM"
"Maragheh Airport","OITM"
"Marakei","NGMK"
"Maran","68FD"
"Marana Regl","KAVQ"
"Marathon","CYSP"
"Maratua","WAQC"
"Marau Airport","AGGU"
"Maravillas Gap Ranch","48XS"
"Marble Bar","YMBL"
"Marble Canyon","L41"
"Marble Creek","ID8"
"Marble Hall","FAMI"
"Marcel Marchant","SCPF"
"Marcellus","NK71"
"Marcelo Pires Halzhausen","SNAX"
"March Airbase","KRIV"
"Marche Airport","LIPY"
"Marchmont Plantation Airpark","6NC8"
"Marcidale","8IN9"
"Marco Island Executive","KMKY"
"Marcos Juarez","SAOM"
"Marculesti Intl","LUBM"
"Marcy Field","1I1"
"Mardin Airport","LTCR"
"Mare Airport","NWWR"
"Marechal Cunha Machado International Airport","SBSL"
"Marechal Rondon Airport","SBCY"
"Mareeba","YMBA"
"Marfa Mun","KMRF"
"Margaree","CCZ4"
"Margaret River","YMGT"
"Margaret River (Station)","YMGR"
"Margate Airport","FAMG"
"Margerison","ME75"
"Maria Dolores","SCGE"
"Maria Montez Intl","MDBH"
"Maria Reiche Neuman","SPZA"
"Marian Airpark","F06"
"Marianna/Lee County-Steve Edwards Field","6M7"
"Mariano Moreno","SADJ"
"Mariánské Lázně","LKMR"
"Mariaville Aerodrome","8NY5"
"Mariazell","LOGM"
"Marib","OYMB"
"Maribo","EKMB"
"Maribor Airport","LJMB"
"Marica","SBMI"
"Marica","SDMC"
"Marici","2PA3"
"Marie Galante","TFFM"
"Mariehamn Airport","EFMA"
"Mariental","FYML"
"Marignane Berre Airport","LFTB"
